,words,sentiment_vector
199,aa,"[0.8389443862648666, 0.5442171595555089, 0.0, 0.0, 0.0, 0.0]"
200,seats,"[0.45582112560901494, 0.8900714024439448, 0.0, 0.0, 0.0, 0.0]"
201,response,"[0.5364454359612336, 0.1864962834081135, 0.15262269490916303, 0.5071596160398256, 0.6300324335844337, 0.0]"
202,being,"[0.9855521869424252, 0.16937203669142997, 0.0, 0.0, 0.0, 0.0]"
203,care,"[0.0070091613964174985, 0.13427100002522738, 0.09128158008955732, 0.20135789757616687, 0.564335730418545, 0.49621289876308283]"
204,Just,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
205,problems,"[0.6222508793353683, 0.7828178863352324, 0.0, 0.0, 0.0, 0.0]"
206,online,"[0.15099125371015332, 0.01706916080259907, 0.11616202715743908, 0.9341356963525876, 0.3013422793088811, 0.0]"
207,some,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
208,+,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
209,sitting,"[0.6256249727868071, 0.7801239602944566, 0.0, 0.0, 0.0, 0.0]"
210,“,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
211,her,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
212,best,"[0.07126767215882739, 0.35120612244781596, 0.5364266867056335, 0.7484551265158639, 0.15374170495467315, 0.0]"
213,where,"[0.13976658233124542, 0.9901844790055252, 0.0, 0.0, 0.0, 0.0]"
214,staff,"[0.040942750833312815, 0.49786025808586465, 0.8559762971224041, 0.1332795308271126, 0.0, 0.0]"
215,sent,"[0.9984737639746605, 0.0551876746336221, 0.002112634092147789, 0.0, 0.0, 0.0]"
216,passengers,"[0.964265644979741, 0.2649372867525521, 0.0, 0.0, 0.0, 0.0]"
217,bad,"[0.2115418544965836, 0.12154350932001207, 0.20834773320301828, -0.8333909328120731, -0.4500311037185195, 0.0]"
218,<happy>,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
219,better,"[0.06848882164965386, 0.011193627403002093, 0.21717736496834164, 0.5147584426884771, 0.8264633820327107, 0.0]"
220,boarding,"[0.3845380504339831, 0.7446272163742486, 0.5455829876408991, 0.0, 0.0, 0.0]"
221,long,"[0.06105731084220688, 0.4816682190454434, 0.8526242688847414, 0.17178566600450426, 0.08825685592891962, 0.0]"
222,customers,"[0.6696169000595255, 0.7427066763902636, 0.0, 0.0, 0.0, 0.0]"
223,already,"[0.1850010227320169, 0.6457857460125898, 0.7407667594020877, 0.0, 0.0, 0.0]"
224,book,"[0.39512753710371945, 0.4062754860381291, 0.14674292094975913, 0.8036130325155512, 0.0711427996366635, -0.08016090099905747]"
225,line,"[0.12275827505675616, 0.004178779753708109, 0.5665868397627553, 0.8147958619878439, 0.0, 0.0]"
226,said,"[0.051987504145315715, 0.5827997289881544, -0.8109511546968008, 0.0, 0.0, 0.0]"
227,booked,"[0.7981449400576295, 0.011585154843259383, 0.6023540809587504, 0.0, 0.0, 0.0]"
228,left,"[0.5113380216623682, 0.18332952430793445, 0.3908777159383808, -0.06956298334496608, 0.7397968070020202, 0.0]"
229,sure,"[0.12607485590519726, 0.5816173461003507, 0.33900900559992814, 0.7286283603770969, 0.0, 0.0]"
230,since,"[0.2817790615442398, 0.9594793173775281, 0.0, 0.0, 0.0, 0.0]"
231,times,"[0.4922783550967942, 0.866461093501341, -0.0831095334582919, 0.0, 0.0, 0.0]"
232,he,"[0.8288461459411085, 0.5594766003673172, 0.0, 0.0, 0.0, 0.0]"
233,d,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
234,give,"[0.07928184887340943, 0.25373664794565065, 0.6292271610126562, 0.275182011749535, -0.03943156875679312, 0.6753704861535843]"
235,stuck,"[0.570085884368992, 0.1642210797286612, -0.805005292787555, 0.0, 0.0, 0.0]"
236,miles,"[0.13465045299400372, 0.9908931604913366, 0.0, 0.0, 0.0, 0.0]"
237,well,"[0.17187043539036004, 0.5382090860656648, 0.8251009229876609, 0.0, 0.0, 0.0]"
238,whatever,"[0.12329553789571249, 0.4886314277051402, 0.0756520410228318, -0.13787288765346348, -0.849296987945335, 0.0]"
239,same,"[0.3981547354671892, 0.9173182689912224, 0.0, 0.0, 0.0, 0.0]"
240,morning,"[0.40930348437200065, 0.5441714647041749, 0.23491122822258714, 0.6936604281185486, 0.0, 0.0]"
241,reservation,"[0.6434549743575557, 0.7598415442358459, 0.09277135133112074, 0.0, 0.0, 0.0]"
242,tonight,"[0.6004507329855671, 0.17153437863126045, 0.632857778043798, 0.27633120436388847, -0.36492050157390776, 0.0]"
243,into,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
244,flightr,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
245,t,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
246,miss,"[0.7907068511571851, 0.33081435254754954, 0.036372258657060424, -0.5138303207108537, 0.0, 0.0]"
247,tickets,"[0.48393665709012934, 0.805965120826985, 0.3409186646911164, 0.0, 0.0, 0.0]"
248,think,"[0.011214462569928018, 0.6658690265752906, 0.3312401900648074, 0.6684105114095474, 0.0, 0.0]"
249,nothing,"[0.07217548304664291, 0.21655665564068619, 0.2652664491245957, 0.2652664491245957, 0.22089803948453876, -0.11800108946823651]"
250,website,"[0.4024087128304722, 0.33406144664671006, 0.3382693782888251, 0.7642351503798344, -0.15533234763817771, -0.06213293905527109]"
251,year,"[0.09829824579542906, 0.06557699724759933, 0.18904094469454472, 0.5752656739153221, 0.04988466176018476, -0.7854180787773771]"
252,night,"[0.11179088202189272, 0.3428694829145459, 0.5878186882555447, 0.15334400563188122, -0.7077415644548364, 0.0]"
253,find,"[0.3632324277471149, 0.03211755009720197, 0.6344184728864842, 0.15409647661842252, -0.6639263088346928, 0.0]"
254,agents,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
255,yet,"[0.5743758243359983, 0.808549518467507, 0.1278283560259813, 0.0, 0.0, 0.0]"
256,issue,"[0.05815023276838876, 0.004408160139458637, 0.7519325267939706, 0.6566556127091293, 0.0, 0.0]"
257,use,"[0.5196786128524933, 0.29315886823719695, 0.7845138910272821, 0.13970795319663928, 0.0949297630695113, 0.0]"
258,fleet,"[0.5017592726664111, 0.8650073018728073, 0.0, 0.0, 0.0, 0.0]"
259,connection,"[0.7179414300394402, 0.6930062318983259, 0.06559318244305143, 0.0, 0.0, 0.0]"
260,says,"[0.6637513077735837, 0.6616502116740757, 0.3487881861825433, 0.0, 0.0, 0.0]"
261,fleek,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
262,booking,"[0.19836560015488636, 0.2876728023740496, 0.054752627197575406, 0.2918177504714497, 0.8886731670159728, 0.0]"
263,airlines,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
264,delays,"[0.8543513053840183, 0.5196959178102364, 0.0, 0.0, 0.0, 0.0]"
265,system,"[0.06267174354161534, 0.3833738209338669, 0.16493395695400812, 0.8790931116500444, 0.221560052529686, 0.0]"
266,’,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
267,lax,"[0.2527720165036425, 0.4652416622938679, 0.1448727778868172, 0.3328899430778883, 0.40551037712236726, -0.650702698173101]"
268,tell,"[0.34333283430258654, 0.8304454689116467, 0.42351211753933343, 0.11454420260850298, 0.0, 0.0]"
269,okay,"[0.020641730115576795, 0.5198212204830107, 0.0019075349751201053, 0.8042212141431541, 0.28737504718715373, 0.0]"
270,tried,"[0.33166208550474474, 0.9433982515558544, 0.0, 0.0, 0.0, 0.0]"
271,info,"[0.46419868456325947, 0.7137710047838199, 0.16337147973139643, 0.497253812693117, -0.033150254179541136, 0.0]"
272,hotel,"[0.13926610638445508, 0.12134069775341058, 0.09742569787491563, 0.9736054707038978, -0.09209781479631467, 0.0]"
273,flt,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
274,reply,"[0.476037081994356, 0.5706961944270488, 0.2456540049502257, 0.6223734088830414, 0.0, 0.0]"
275,refund,"[0.8241333071876701, 0.1440948525534462, 0.5449805136460476, 0.04734581172156051, 0.02820601549369562, 0.0]"
276,put,"[0.11441545116490714, 0.1414153598415271, 0.5489847818230488, 0.11507565618983137, 0.8076410732589082, 0.0]"
